drug_id,atc_code
DDInter1513,D07BA01
DDInter1513,D07CA03
DDInter1513,S01BA04
DDInter1513,S02BA03
DDInter1513,A07EA01
DDInter1513,H02AB06
DDInter1513,S02CA01
DDInter1513,C05AA04
DDInter1513,S03CA02
DDInter1515,A07EA03
DDInter1515,H02AB07
DDInter1516,N03AX16
DDInter1517,J04AK08
DDInter1518,N01BB54
DDInter1518,N01BB04
DDInter1520,P01BA03
DDInter1521,N05CB01
DDInter1521,N03AA03
DDInter1522,M04AB01
DDInter1522,G01AE10
DDInter1523,C10AX02
DDInter1524,C01BA02
DDInter1525,N01BA52
DDInter1525,C05AD05
DDInter1525,S01HA05
DDInter1525,N01BA02
DDInter1526,L01XB01
DDInter1527,N05AB04
DDInter1528,N04AA04
DDInter1529,G03FA04
DDInter1529,G03DA04
DDInter153,R06AX19
DDInter153,S01GX07
DDInter153,R01AC03
DDInter1531,P01BB01
DDInter1531,P01BB51
DDInter1531,P01BB52
DDInter1532,N05AA03
DDInter1533,R06AD52
DDInter1533,D04AA10
DDInter1533,V03AB05
DDInter1533,R06AD02
DDInter1534,C01BC03
DDInter1535,A03AB05
DDInter1535,A03CA34
DDInter1537,N05CM06
DDInter1538,N01AX10
DDInter1539,C07FX01
DDInter1539,C07AA05
DDInter1539,C07BA05
DDInter1541,H03BA02
DDInter1542,B01AD12
DDInter1543,N06AA11
DDInter1544,A06AX05
DDInter1545,R01BA52
DDInter1545,R01BA02
DDInter1546,P02CC01
DDInter1547,J04AK01
DDInter1547,J04AM06
DDInter1547,J04AM05
DDInter1548,N07AA02
DDInter1549,J04AM08
DDInter1549,A11HA02
DDInter1550,P01BF09
DDInter1550,P01BD01
DDInter1550,P01BD51
DDInter1550,P01BF04
DDInter1552,N05CD10
DDInter1553,N05AH04
DDInter1554,C09AA06
DDInter1554,C09BA06
DDInter1556,C01BA01
DDInter1556,C01BA51
DDInter1556,C01BA71
DDInter1557,M09AA72
DDInter1557,P01BC01
DDInter1559,A02BD12
DDInter1559,A02BD13
DDInter1559,A02BC54
DDInter1559,M01AA05
DDInter1559,A02BC04
DDInter1559,M02AA03
DDInter156,C09CA09
DDInter156,C09DA09
DDInter1562,G03XC01
DDInter1563,J05AR16
DDInter1563,J05AJ01
DDInter1564,N05CH02
DDInter1565,C09BX03
DDInter1565,C10BX04
DDInter1565,C09BB05
DDInter1565,C09AA05
DDInter1565,C10BX18
DDInter1565,C10BX17
DDInter1565,C09BB07
DDInter1565,C09BX05
